customer_tweet_id,customer_text,amazon_reply,intent
164906,@AmazonHelp La paquetería no ha entregado mi pedido que estaba programado para ayer. Es raro porque con el otro servicio de paquetería esto no pasa,"@154221 ¡Hola, Edwardo! Lamentamos el atraso de tu pedido, ¿te has puesto en contacto con el transportista asignado a la entrega? ^LC",delivery_missing
168002,"@AmazonHelp Please can someone contact me regarding my issue, I need to discuss this with someone who can really help me?!!","@155083 We're happy to help you in any way we can, Lewis! In order to do so, please give us some background around what's happening. ^CS",general_other
281019,@AmazonHelp Yep yesterday then today,@182958 Thanks. If you get in touch via https://t.co/tkLCr7DNil I'll have a specialist look into this for you. ^BM,general_other
63998,@AmazonHelp @115850 raised the concern (again) as suggested. Another mail from cust care suggests that money will get credited within 3 days. #fingerscrossed #anotherpromise  @115851 #amazonfails,@130696 We understand your concern regarding Amazon Pay. Could you please confirm if you have shared the details on the link provided earlier. ^VH,refund_payment
232895,"@AmazonHelp But the discount is very less, any seller sell in dozen only ?","@171437 Also, items available on our website are subjected to quantity limit, appreciate your understanding. 3/3 ^AP",product_seller
140027,Despite saying I won't cave to #BlackFriday - @115830 thanks for my new Telly thats coming next week.  Hope it gets delivered without breaking!,@147590 You're very welcome! We hope you enjoy the TV! ^MJ,order_preorder
101745,@AmazonHelp Bah non je m’en rend compte,@138287 N'ayant pas accès à votre compte depuis Twitter veuillez contacter notre service client afin de donner suite à votre requête je vous prie via le lien suivant: https://t.co/hgIrz98cdI ^BR,account_prime
241721,"@115850  Worst delivery experience ever , 7 days gone but not received my order yet..
You need to improve your delivery speed.","@173402 We truly are sorry for this. If you haven't already, please report this to our support team here: https://t.co/vlvfJr4nN9 ^HT",delivery_missing
175441,@116618 Episode 20 of Altair: A Record of Battles on Amazon Strike is missing its subtitles. Please fix this issue.,@157205 Thank you for letting us know about this! I have reported this to the correct team to have this resolved! ^GM,prime_video_digital
326686,@AmazonHelp this is the order info I have https://t.co/SMWPnogJes,"@193840 When you called, what order options did we give you? Did we ask you to wait until a certain day? ^DW",delivery_missing
229785,@115850 @115821 Sir its 10-13 oct but I booked the SD memory card yesterday can u pls pls arrange asap delivery of my order.,@170761 I'm positive that the order would be delivered. 2/2^SB,delivery_missing
300568,@115850 didnt received my order yet.. I ordered on 1august.. I its a fraud.. I want my money back.. https://t.co/38YLLJv0WD,@187660 I'm sorry to hear about the delay. Did you happen to escalate this to our support team here: https://t.co/T6y6Xlutbs? ^VN,refund_payment
134917,"@AmazonHelp No option...just wait! It is 11am on day 3, and the package has no update. If it isn't going to be here today, and comes tomorrow it needs to be the original address as that is home. Do I need to call CS directly again?","@146411 Hey Charles, really sorry to hear this. Can you advise what the tracking states now? You can check this via this link: https://t.co/aaDyEz1VgE. You can also re-direct your orders via the link attached, if the order has not dispatched. 

- Jenna.",delivery_missing
105199,@AmazonHelp Danke für die schnelle Antwort. Ich habe die Rücksendung beantragt allerdings sieht der Inhalt wie folgt aus. Soll ich es dennoch zurück senden? https://t.co/5BTQhTYQks,"@139233 Oh nein, das sieht ja nicht sehr appetitlich aus 😱
Die Kollegen im Kundenservice können dir sagen, ob deine Rückerstattung an eine Rücksendung der Ware gebunden ist, oder nicht. Frag doch schnell mal nach: https://t.co/cDHy5WiCek. ^AW",return_cancellation
295325,Can y’all stop telling me things are Prime Eligible if y’all aren’t gonna deliver my stuff in 2 days 🙃🙃🙃 @AmazonHelp,@186341 We don't want to let you down! Have we missed our expected delivery date? Check here: https://t.co/Y5jpI9gRhE ^JE,delivery_missing
277602,"@AmazonHelp Inspite of filling up the form, no revert from Amazon, very poor customer service.","@171321 If you have filled your details, you must have received an email correspondence from our team. Please check it here: 1/2 ^NK",complaint_service
