example_id,customer_text,amazon_reply,intent
11,".@115850 won't do return-&amp;-refund for Bluedio Hurricane T2 headphones, so am stuck with sub-par audio experience &amp; no volume control 😨😢","@171433 We'd like to check this, kindly share your details here:  https://t.co/GIJyeYqKE0 ^SG",return_cancellation
12,Amazonから荷物来ててなんだろと思ったら、三騎士のマグカップだった。私いつ買った？🤔スマホケースと一緒にカートに入れたのかな？？マグカップだらけだな🤔🤔,@171839 リプライ失礼いたします。もし返品をご希望の場合、お客様ご都合で元払いとはなりますが、未開封であれば返品を承ります。お手続きの方法はこちらのヘルプページをご参照ください。 https://t.co/MBDjb9ItjW  HM,general_other
13,"@AmazonHelp Excellent. This is the same to same reply read out by CC.
Excellent job.
This kind of replies are comfortable for u ,but not for customers. 
We are purchasing products in e-commerce website, But not shares in share market.","@148070 I get your concern. However, As said earlier, the prices keep on changing based on the market value. Hence, we do not guarantee the constant price every time. Appreciate your understanding in this regard. ^HS",product_seller
14,@115821 @115851 why do you continue to use @2150 I don’t get my items! How can “the door” sign for a package! Terrible service!,@123475 Sorry for the poor experience! Have you spoken our customer service so we could escalate this feedback to the carrier? ^AD,delivery_missing
15,@AmazonHelp La paquetería no ha entregado mi pedido que estaba programado para ayer. Es raro porque con el otro servicio de paquetería esto no pasa,"@154221 ¡Hola, Edwardo! Lamentamos el atraso de tu pedido, ¿te has puesto en contacto con el transportista asignado a la entrega? ^LC",delivery_missing
16,"@AmazonHelp Please can someone contact me regarding my issue, I need to discuss this with someone who can really help me?!!","@155083 We're happy to help you in any way we can, Lewis! In order to do so, please give us some background around what's happening. ^CS",general_other
17,@AmazonHelp Yep yesterday then today,@182958 Thanks. If you get in touch via https://t.co/tkLCr7DNil I'll have a specialist look into this for you. ^BM,general_other
18,@AmazonHelp @115850 raised the concern (again) as suggested. Another mail from cust care suggests that money will get credited within 3 days. #fingerscrossed #anotherpromise  @115851 #amazonfails,@130696 We understand your concern regarding Amazon Pay. Could you please confirm if you have shared the details on the link provided earlier. ^VH,refund_payment
19,"@AmazonHelp But the discount is very less, any seller sell in dozen only ?","@171437 Also, items available on our website are subjected to quantity limit, appreciate your understanding. 3/3 ^AP",product_seller
20,Despite saying I won't cave to #BlackFriday - @115830 thanks for my new Telly thats coming next week.  Hope it gets delivered without breaking!,@147590 You're very welcome! We hope you enjoy the TV! ^MJ,order_preorder
21,@AmazonHelp Bah non je m’en rend compte,@138287 N'ayant pas accès à votre compte depuis Twitter veuillez contacter notre service client afin de donner suite à votre requête je vous prie via le lien suivant: https://t.co/hgIrz98cdI ^BR,account_prime
22,"@115850  Worst delivery experience ever , 7 days gone but not received my order yet..
You need to improve your delivery speed.","@173402 We truly are sorry for this. If you haven't already, please report this to our support team here: https://t.co/vlvfJr4nN9 ^HT",delivery_missing
23,@116618 Episode 20 of Altair: A Record of Battles on Amazon Strike is missing its subtitles. Please fix this issue.,@157205 Thank you for letting us know about this! I have reported this to the correct team to have this resolved! ^GM,prime_video_digital
24,@AmazonHelp this is the order info I have https://t.co/SMWPnogJes,"@193840 When you called, what order options did we give you? Did we ask you to wait until a certain day? ^DW",delivery_missing
25,@115850 @115821 Sir its 10-13 oct but I booked the SD memory card yesterday can u pls pls arrange asap delivery of my order.,@170761 I'm positive that the order would be delivered. 2/2^SB,delivery_missing
26,@115850 didnt received my order yet.. I ordered on 1august.. I its a fraud.. I want my money back.. https://t.co/38YLLJv0WD,@187660 I'm sorry to hear about the delay. Did you happen to escalate this to our support team here: https://t.co/T6y6Xlutbs? ^VN,delivery_missing
27,"@AmazonHelp No option...just wait! It is 11am on day 3, and the package has no update. If it isn't going to be here today, and comes tomorrow it needs to be the original address as that is home. Do I need to call CS directly again?","@146411 Hey Charles, really sorry to hear this. Can you advise what the tracking states now? You can check this via this link: https://t.co/aaDyEz1VgE. You can also re-direct your orders via the link attached, if the order has not dispatched. 

- Jenna.",delivery_missing
28,@AmazonHelp Danke für die schnelle Antwort. Ich habe die Rücksendung beantragt allerdings sieht der Inhalt wie folgt aus. Soll ich es dennoch zurück senden? https://t.co/5BTQhTYQks,"@139233 Oh nein, das sieht ja nicht sehr appetitlich aus 😱
Die Kollegen im Kundenservice können dir sagen, ob deine Rückerstattung an eine Rücksendung der Ware gebunden ist, oder nicht. Frag doch schnell mal nach: https://t.co/cDHy5WiCek. ^AW",return_cancellation
29,Can y’all stop telling me things are Prime Eligible if y’all aren’t gonna deliver my stuff in 2 days 🙃🙃🙃 @AmazonHelp,@186341 We don't want to let you down! Have we missed our expected delivery date? Check here: https://t.co/Y5jpI9gRhE ^JE,delivery_missing
30,"@AmazonHelp Inspite of filling up the form, no revert from Amazon, very poor customer service.","@171321 If you have filled your details, you must have received an email correspondence from our team. Please check it here: 1/2 ^NK",complaint_service
31,@158244 @123583 @AmazonHelp Sadly I’ve tried that a few times already. Checked website and through mobile app too. Thanks for the suggestion :) Much appreciated,@158243 Hi Christopher- Have you gotten in touch with us directly regarding this? ^NV,general_other
32,@AmazonHelp hello guys I bought a 6 feet charging set and just checked the site and it was delivered on ... https://t.co/kT0NV0YI0V,@156910 Uh oh! I'm sorry you haven't received your item! Have you had a chance to try these helpful tips:https://t.co/GH2FEspol2 ^ML,delivery_missing
33,"@AmazonHelp Yes, i just want to listen to CTRL by @137104 with ease.",@137103 We'd like to take a closer into this and all available options here: https://t.co/hApLpMlfHN ^LI,prime_video_digital
34,"@AmazonHelp いつも利用させてもらってます！！！！
楽しみに待ってます✨
わざわざ挨拶ありがとうございます^ ^",@182308 いつもご愛顧いただきありがとうございます（* ◜∀◝人）♥　今後ともどうぞよろしくお願いいたします♪　リプライありがとうございました！　SM,general_other
35,@115830 I ordered 5 items on 9 Sept. After delays I was offered free re-order but 1 item still not arrived how do I get a refund?,@159741 I'm sorry for the wait! We'd like to take a look at this with you. Please call or chat with us here: https://t.co/JzP7hlA23B ^MH,refund_payment
36,@AmazonHelp You people took my money and then closed my account saying that I am a fraud this is my only account and I have never used any other.,"@177027 Everytime an account is put on hold, specialty team sends you an e-mail . We would request you kindly reply to the same. ^CB",account_prime
37,@AmazonHelp Refund not received for an order placed on 22nd September and cancelled.,@159125 Sorry for the trouble. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,refund_payment
38,"@AmazonHelp C'est le même article que ma precommande, disponible en 12 exemplaires chez un de vos revendeur. 1/3","@164989 Je comprends votre point de vue mais, malheureusement cela reste impossible ! ^AR.",order_preorder
39,@AmazonHelp I figured it out.  Old password saved in kindle app. New password on Amazon account.  Kindle app couldn't sync but said it was server issue.  Didn't prompt for correct password.  Uninstall and reinstalling app didnt fix. Had to de register device. Now works. Love my Kindle.,@181639 Thanks for letting us know. I hope if you ever need anything you will let us know. ^SC,technical_device
40,@AmazonHelp Oui,"@171491 L'article sera disponible chez nous le 9/10/2017,  quelle est la date de livraison reçue lors de la validation de votre commande?^KE",general_other
41,@117086 As promoções dia 24 vão começar que horas? Ou esse negócio de semana Black Friday vai substituir o dia em sim,"@144111 Olá, Rafael! Você pode conferir todas as ofertas do Black Friday aqui: https://t.co/WCCvqLQJL6 ^CR",product_seller
42,"@AmazonHelp Thanks for the concern, the carrier is ups. Says it should arrive by 8, so ill be patient 😊","@178544 Please keep us posted on your order's arrival, we want to ensure you receive it. ^EZ",delivery_missing
43,Been on hold for 12minutes 24seconds to @115821 and they hung up not happy,"@195905 Truly sorry, that isn't at all what we expect! Please, give us a call back here so we may assist: https://t.co/hApLpMlfHN ^JE",complaint_service
44,Wish amazon would stop dispatching my packages in Dundee. 😡 What am I paying prime for? I DONT EVEN LIVE IN DUNDEE @AmazonHelp,@182672 Hello- Just to confirm are your orders being delivered to the incorrect address? ^NV,delivery_missing
45,@AmazonHelp You're customer experience team is not solving The problem. They Said they have no solution. I am preparing video for YouTube/ Facebook/ instagram . If I don't get replacement I will create awareness on weekends to entire India,@131812 I'm sorry to know that the resolution provided wasn't as you expected. Kindly respond to the email sent to you by the Social Media team and we'll take this up further. Appreciate your understanding. ^EM,complaint_service
46,@AmazonHelp the com store!!,@150324 Can I ask for you to check the current status of the order through the link below please: https://t.co/Y5jpI9gRhE.^GA,general_other
47,"@AmazonHelp Bonjour, pas de nouvelles de ma commande censé arriver hier 402-7454769-1903530.. pouvez vous m'aider ?'","@124282 Bonjour, désolée d'apprendre cela :/ que dit le suivi de votre colis s'il vous plaît ? ^SN",delivery_missing
48,"@AmazonHelp Just says ""arriving today"" but I ordered it on Thursday ):",@193105 Deliveries can occur up until 21:00. Please let us know if you don't receive your item by then. ^KP,delivery_missing
49,"@AmazonHelp Got the order, thanks for prompt delivery","@190858 You are welcome, Gururaj. ^MJ",general_other
50,"@116875 No se si me pudieran dar ayuda o visión con respecto al juego Xenoblade Chronicles II de Nintendo Switch, a cada rato lo tienen disponible y cuando lo voy a comprar lo cambian a no disponible...","@137898 Hola, de momento no contamos con esta información. Te sugiero estar al tanto de las novedades y la disponibilidad en nuestro Sitio Web. ^VL",product_seller
51,"@115850 Why you guys update tracking status as ""delivered"" without actually delivering the product? Tracking #:511367948985","@127911 Sorry about this experience, Anuj. Please report this to our team here:https://t.co/TdDksLo6Mf and we'll look into this. 1/2 ^MK",delivery_missing
52,"@130701 Ah ma su @120540 
Se non dovessi regalar la domenica l’avrei rispedita indietro",@130700 Ti suggerisco di segnalare l'accaduto al nostro Servizio Clienti da qui: https://t.co/7KeFKgeoSa. I miei colleghi sono a tua completa disposizione. A presto! ^MZ,return_cancellation
53,@115850 Naah.  Not at all interested in @132995 5T. Please make iPhone X available on @115850 @115858 @AppleSupport,"@153413 Any offers or products which are available will be displayed on our website. However, I'll make sure to forward your feedback internally. ^SM",product_seller
54,@AmazonHelp I got this mail yesterday https://t.co/YcuH8lZOZ1,"@158239 Hence, please provide them with the required information to assist you with this accordingly. (2/2)^HR",general_other
55,"@AmazonHelp What a reply 4m @115821. For a delivery dat was supposed to happen on last Friday, i am told to wait for 2 more days.   #customerexperience https://t.co/z8QKaFChku","@193278 sent to you so that we can assist you further. Adding to this, we don't have any compensation policy. 2/2 ^NK",delivery_missing
56,@AmazonHelp sent to the link provided by u,@134813 Thanks for the confirmation. Our team will check all the details and reach out to you soon. ^PR,general_other
57,"予定日過ぎてもAmazonから荷物が届かないワイ
追跡しても意味わからんことが出てくる

さすが取引相手が中国なだけあるわ、、、",@121154 アマゾンです。ご迷惑をおかけしております。出品者発送の商品と推察いたしますが、出品者にはすでにお問い合わせ済みでございますか。ET,delivery_missing
58,@115850  Your customer service number is also useless  (2/2) ORDER # 171-7071960-4441959,"@184335 We apologize for the unpleasant experience, I’d like to understand this better (1/2) ^HS",complaint_service
59,"@AmazonHelp I ordered 4 items last week, and Amazon says they all delivered yesterday, but only 3 items came - the PS4 game didn't. Please advise","@132156 Hi Scarlett, really sorry to hear this! Please check out our help page for when parcels have been marked as delivered, but not received, this will give you all the info you need for the next steps to take: https://t.co/XQBYdYR4no. ^JC",delivery_missing
60,@AmazonHelp Hope the 48 hours means the 48 hours only this time..not more than that @115850,@158284 Kindly wait for the mentioned time frame. Do keep us posted. ^AK,general_other
61,Yet another @115821 package not delivered on time. I believe that makes 6 bad delivery day packages with 2 that were wrong/missing items in the last 3 months. Why am I paying for Prime?,"@157498 I'm very sorry for the frustration, Raymond! We'd like to help! Have you noticed a trend in the carrier with the late deliveries? ^HM",delivery_missing
62,"@AmazonHelp How many time to i can feeling in my erlier data tell me ? 
I can already feel in my details","@172009 I get you being upset, Mitul. However, please revert to the email you've received from us for updates. ^MS",general_other
63,@AmazonHelp no one could says why DE department close my account! Because I never ordered from it!,"@158540 Please get in touch with us, the Social Media Team: https://t.co/br7bhrlJn8 ^AV",account_prime
64,"@AmazonHelp O eso, o no contratar servicios de paqueteria q no cumplen con empresas q tienen servicio a domicilio","@185743 Puedes reportarlo también con nuestro Servicio al Cliente, por medio de este enlace: https://t.co/OjvUxwnzPe .^MB",delivery_missing
65,Discovered fraud ($189.00) in my account. Do you think @115821 wanted to give me my money back? No... Calling #betterbusiness This is bullshit @115851 sitting on a billion wanna fleece me for two hunnid.. nah,"@188583 If a fraudulent order was made, and we were unable to cancel it, please formally dispute the charge with your bank/lender. ^JR",refund_payment
66,I’m literally furious at @115821 😡,"@155075 I hate to hear this, Amanda! We want to help! Have you had trouble with a recent order/delivery? Could you tell us more details about what's going on? ^HM",complaint_service
67,"@AmazonHelp Your CC agreed 2 refund but this item is available on sale now also, when u don't have item for delivery why keep it 4 sale? AI @ work?",@169610 Kindly drop in your details here: https://t.co/ZJjvTjjjHz and we'll work on it. ^NS,refund_payment
68,"@AmazonHelp Es el 28 de noviembre, sin embargo ayer y hoy he recibido e-mails primero diciendo que mi pedido está en tránsito a la dirección de entrega y posteriormente, diciendo que no se realizó la entrega porque no había nadie en casa","@142946 Comprendemos. En este caso, el pedido se va a intentar entregar nuevamente, porque la fecha de entrega establecida no ha pasado. ¿Podrías indicarnos si este pedido es vendido y distribuido por Amazon o por un vendedor externo? ^ES",delivery_missing
69,"amazonでコーギー植木鉢をポチッと💕
興味津々でガリガリッ😵💦 https://t.co/mkWLAy6Iob",@170039 |ω・).｡oO(　似ていますね・・・！！かわいいです・・・！） SK,general_other
70,"Deux commandes @120533 et toujours pas de livraison... et une surprise ratée, une !","@131049 Bonsoir, je suis sincèrement désolée pour cela, que dit le suivi de vos commandes et par quel transporteur je vous prie ? 
^KE",delivery_missing
71,Is this kind of too much for a delivery. This is the 6th notification on same order @115850 https://t.co/y3gY1ytgCX,@170977 That's unusual. I'll have this reviewed internally. Thanks for flagging. ^HK,delivery_missing
72,@115850 @AmazonHelp my OD ID is 4__credit_card__ &amp; Tracking ID is 213112426556 It was a replacement of faulty product,@125591 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG(1/2),technical_device
73,"@120540 non riesco ad accedere al mio account via app, da stamattina. Mi potete aiutare? Grazie!",@156261 Hai già provato ad accedere tramite il PC? ^ZC,account_prime
74,@AmazonHelp Is there any limit of keeping patience? It's been over month and still being told to keep patience and no ETA. Whom to approach for refund.,@175368 https://t.co/beaaDm0muc and I’ll contact you at the earliest.  3/3 ^NK,refund_payment
75,"@AmazonHelp Me llamo,y me dijo que lo dejaba en ese ""Bar"" (insistentemente) ,luego a la tarde ire a recojerlo,pero si yo pago por un servicio,lo minimo esque se cumpla y me lo traigan a la direccion que indico¿No?","@147825 Claro, Julen. Comprendo tu molestia. ¿Podrías indicarnos cuál es la empresa de transporte encargada de la entrega de tu pedido? ^LG",delivery_missing
76,@115830 You said my item would be arriving Thursday but now it isn't even showing as dispatched! Why???,@148573 When you placed the order did you receive a confirmation email with the expected delivery date? ^BZ,delivery_missing
77,@AmazonHelp Seriously a 6th time? 😢😢😢😢 Losing the will to live will make contact after some sleep.,@122488 Thanks Ailsa- Please let us know how it goes and if there is any issue. ^NV,complaint_service
78,"@AmazonHelp Why doesn't Amazon reimburse parking charges to delivery staff? My office s n a mall, executive was hesitant to pay parkg ₹ &amp; come to 1/2",@183220 I get your concern. I have forwarded your comments as feedback to the concerned team for review. ^HA,general_other
79,@AmazonHelp Wow... From last two days I have been telling my problem...u still r unable to get...see my previous tweets,@170233 Sorry about the delay. Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^SQ,complaint_service
80,"@AmazonHelp La cuenta se me bloqueó haciendo compras en amazon.mx, mi mail es __email__",@162531 Entra en contacto con Soporte al Cliente por medio de este enlace: https://t.co/9YmNNTWymg. ^DA,account_prime
81,"@AmazonHelp I expect some significant compensation for the distress and time i'm wasting on this.  Your couriers are commiting crimes and you're customer services are making excuses for them, this is not acceptable...",@141801 Our team would like a chance to address this concern. Please include your details here: https://t.co/VByGxxuwng ^SJ,complaint_service
82,"@115830 I think you got a bug, in my orders it shows that the item will be delivered on Monday, but when I click on Track Package, it states that the item will be delivered on Sunday! So when should I expect it? Sunday, Monday?","@155470 Thank you for taking the time to let us know about this! The tracking detail should show you the most accurate information we currently have regarding your parcel. We're happy to double check for you via phone, chat, or e-mail, here: https://t.co/JzP7hlA23B ^JR",delivery_missing
83,@AmazonHelp you keep insisting you havnt taken any money from me dispite proof! #givememymoneyback https://t.co/CeRSmNOEdK,"@118083 Thanks for reaching out, Gemma! We have responded to your direct message. Please respond to us there! ^HM",refund_payment
84,@123813 The big sick estará disponible en México?,"@152941 Hola, Jonathan. 

Todos los detalles de nuevas series y películas se anuncian en nuestra página oficial y en nuestras redes sociales. ¡Mantente atento!

Saludos,
- Emelina S.",prime_video_digital
85,"@115850 @AmazonHelp I'm a prime member and placed order for prime fulfilled product on 21st Nov. Forget quick delivery, it is not yet dispatched. ORDER # 404-1465394-9701149. https://t.co/BjArOZaiiC",@184770 Please don’t provide your order details as we consider them to be personal information. Our page is visible to the public. 2/2^SC,delivery_missing
86,@AmazonHelp @115850 @AmazonHelp Once again order is delayed .. even after charging extra gor same day delivey !!,@158320 That's odd. Let me check this out for you. Please reach us via: https://t.co/r8OjOjMdND and we'll look into this for you. ^VM,delivery_missing
87,@115850 my one rufund is pending since last two months order id is - # 404-1737173-1054737.every time I've been asked to wait .,"@120700 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2) ^RI",refund_payment
88,@AmazonHelp Bought a washing machine from Amazon and had a nightmare getting it installed. Neither you guys or the brand was helpful.,"@119536 I'm sorry for the unpleasant experience, I'd like to look into this closely. Kindly drop in your details 1/2 ^AH",product_seller
89,@115830 hello. appreciate it's a busy day for you but any help appreciated! I have been sent a discount code which I can't seem to make work.  I have checked the terms and conditions and think i meet them all but getting a message saying code cannot be applied.  Thanks!,"@148075 Hey Phil, without revealing any personal info, can you tell us in relation to what was your code sent out? Would you be able to give us a link to the promotion?^MA",product_seller
90,"@115830 terrible service today, took day off work and waited in for order, only to be told at 4.30pm it wasn’t getting delivered today and would be delivered in next few days. What’s the point in paying for prime? 😡😡",@152013 I'm sorry to hear your parcel won't be delivered today! Please keep us posted on the status of the delivery. ^RO,delivery_missing
91,"@AmazonHelp Hi! If I make an order through Cash on delivery &amp; upon receiving the product if it doesn't fit me, can I return it then &amp; there?","@195470 I'm afraid that can't be done. Once you receive the package and you'd like to return it, you'll need to create a ^VN (1/2)",return_cancellation
92,@AmazonHelp Please help me,"@170126 We'd like to check this for you. Please connect with us here: https://t.co/vlvfJr4nN9, our team will reach out to you. ^SA",general_other
93,二度と！Amazonの！個人出品の品は！買わない！！20日経ってるのに！届かない！！1300円は！！返ってくるのか不明！,"@182859 マーケットプレイスのご利用でご不便をおかけしております。
お届け予定日を経過しても商品が未着で、出品者にご連絡いただいても返答がない場合は、マーケットプレイス保証の申請をご検討ください。詳細はこちらです。https://t.co/YwxL1Adztx RI",delivery_missing
94,"@115825 Ich wünsche euch noch ein schönen und stressfreien Abend 💃🕺🏻. Allerdings darf ich euch noch die Bitte meines Herzallerliebsten weiterleiten 😀 .... die ""alte"" Serie The Flash möge doch bitte #amazonprimevideo werden und wann kommt die 3e Staffel von The Flash? 🤗 https://t.co/w0F9a0UocX","@152935 Vielen Dank, den wünschen wir Euch auch! Die gewünschen Infos zu The Flash liegen uns leider nicht vor, ich setze es aber auf unsere Wunschliste!. Liebe Grüße an deinen Herzkönig! 😊 ^BL",prime_video_digital
95,@AmazonHelp benefit of being prime member? https://t.co/FIXq8A79zx,@169610 I'm sorry for the unpleasant experience. Please get in touch with us at: https://t.co/vlvfJr4nN9 we'll check it for you. ^AU,account_prime
96,"@120533 Possibilité de DM, j'ai un problème avec des commandes passées ce jour. Elles n’apparaissent pas dans ""Mes Commandes""","@156253 Bonsoir,
Vous pouvez nous écrire en DM avec tous les détails de votre commande. 
^MD",account_prime
97,"@AmazonHelp @115821 Hey people, seems your shipping service does this frequently. Item shows delivered, but not yet received. ID 919110109865","@160223 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ (2/2) ^SI",delivery_missing
98,"@AmazonHelp Impossível escolher um só hahahahaha. Dumbledore, Snape, Rony, Hermione, Harry, Siriús, Voldemort, Minerva, Chapéu seletor, Dobby que reina em meu coração, Belatriz... Impossível escolher apenas um kkkkk.","@133249 Kkk todos são maravilhosos, né? Meu personagem preferido é Luna Lovegood 🙊, mas o Doddy é adorável 💜. ^MB",general_other
99,Hey @120533 et @5977 le livreur qui dépose le colis comme ça c'est normal ? https://t.co/GSkSWWNpNo,"@138662 Bjr, je suis sincèrement désolé d'apprendre cela et vous prie de nous en excuser, pouvez-vous m'indiquer quel est le transporteur qui a pris en charge la livraison ? ^RA",delivery_missing
100,@116316 Nur heute? Habt ihr auch die Uhr geguckt?,@164994 Das Angebot läuft tatsächlich nur noch wenige Minuten. Bei Bedarf solltest du schnell sein. ^DW,product_seller
101,@AmazonHelp To see if they can support our school,@120772 What was advised when you spoke with us directly? ^NV,general_other
102,"@AmazonHelp my order shipped on Monday and was due today, the shipping info has nothing more than passed to carrier since the apparent dispatch. Ru able to look into this more? Thanks","@139199 We're here to help. Did you order this from https://t.co/nUUp5MLhYl, https://t.co/ykTUEmdsQA, etc? Please let us know so we can best assist. ^AX",delivery_missing
103,@AmazonHelp Thanks!,@143570 You're very welcome! Feel free to reach out to us with any future issues or concerns. ^GG,general_other
104,"@115821 @132448 t'achètes un jeu pendant le black friday on t'envoie une boite même pas emballée et à l'intérieur il manque le jeu, bravo le veau 👏🏻","@132447 Bonjour, désolée d'apprendre cela :/ l'avez-vous signalé à notre SAV ? ^SN",product_seller
105,"@AmazonHelp Entiendo que es gestionado por Amazon, ya que me aparece que fue vendido por Amazon EU S.a.r.L.","@123484 Suarez, por favor entra en contacto con nuestros compañeros de Soporte al Cliente: https://t.co/OjvUxwnzPe. ^DA",product_seller
106,@AmazonHelp @1713 Bestellung ist storniert und bei Amazon werde ich nie wieder ein Spiel vorbestellen.,@121894 Das tut mir leid 🙁 Hast du dich mal hier gemeldet: https://t.co/va1VRoK7GS ob meine Kollegen etwas für dich tun können? ^DW,order_preorder
107,@AmazonHelp ordered a pressure cooker order no.  171-8169375-1307500. but amazon delivered it on wrong address. no help from customer care. even they are asking me to check with the neighbours and society. too bad response. completely carelessness. https://t.co/2QBVWSISUA,@144622 Please don’t provide your order details as we consider them to be personal information. Our page is visible to the public. 2/2 ^SC,delivery_missing
108,@115821 I seriously just recieved my motherboard like this. The box was not even taped or sealed. It better not be broken. https://t.co/RcuM8Sxu7O,"@152463 Oh no! I can understand your disappointment, Chase! Items may be dispatched to you in the manufacturer's box without additional Amazon packaging: https://t.co/05PxdTwLSX. Please let us know if the item is damaged in any way! We're here to help! ^SD",product_seller
109,@AmazonHelp 2nd delivery attempt successfully made. Package now in my hands. Thank you all so very much for your time and help.,@158922 Glad you got it. Thanks for keeping us posted!  ^AF,general_other
110,@AmazonHelp u r saying such that am from mars...and using amazon for the first time I know abt it...,@190499 Apologies for the trouble. Kindly connect with our support team here: https://t.co/R3EfhzgU8B. We'll look into it. ^PS,complaint_service
111,@AmazonHelp Saying we couldn't find your order,@170030 Sorry about that. You may connect with us via chat or email here: https://t.co/TxK11znixD -Adik,order_preorder
112,"@AmazonHelp I am using Firefox, but it still fails to display the orders.","@132740 That's odd! Have you tried clearing the cache and
removing cookies? 

-RD",technical_device
113,"@AmazonHelp Comprei o Frantumaglia, da Elena Ferrante, é o Laços, do Starnone, só os italianos! Chegaram hoje, inclusive &lt;3",@161076 Ótima escolha 😍. Assim que aquele maravilhoso pacotinho chegar tem que enviar uma foto para a gente 📸. ^MB,general_other
114,Mirando el catálogo de @116618 me encuentro con que van a sacar una serie de terror con una pintaza TREMENDA https://t.co/RalqoqQxcm https://t.co/VD6Nt3WL2p,"@185172 No te la puedes perder, Piti 😱 Mantente atento al sitio web para más novedades 😉 ^LG",prime_video_digital
115,"@AmazonHelp hello....first study the case, these all are old updates...m not asking for order confirmation but i m asking why the product is delayed",@174664 https://t.co/MlhzIK8A3D so that we can get in touch with you soon. (2/2) ^VM,delivery_missing
116,"@AmazonHelp I'm not sure, but I placed an order through prime &amp; confirmed my address for prime?","@130714 Sorry to hear that, were you sent any order emails? Or would you have any other email address? ^AS",delivery_missing
117,"@AmazonHelp Je n'ai pas de téléphone fixe, quel est le prix via mobile ?","@162493 Le tarif d'une communication normale, ce n'est pas un numéro surtaxé ^KD",general_other
118,"@AmazonHelp sur Amazon il est ecrit ""Colis envoyé au transporteur, en transit.""
et sur le site du transporteur qui est Colis Privé c'est ecrit ""Votre colis a été expédié par votre webmarchand, mais n a pas encore été pris en charge par Colis Privé""","@151987 Navrée pour cela, l'avez-vous signalé à notre SAV ? ^MA",delivery_missing
119,@AmazonHelp It was implied it would have all been sorted on Saturday?,"@131141 Hi Sarah, I am sorry to hear that this still hasn't been resolved please follow this link: https://t.co/tkLCr7Vo9T  and fill out the form, someone from our team will be in contact to assist you. Please let us know how you get on. ^HS",complaint_service
120,@AmazonHelp PS4,@158930 Those are being sent out now. You should receive it within 24 hours of placing your order. ^EM,general_other
121,"@115830 any chance of an update on these failed disbursements? No anouncement, every CS rep has different story.","@122722 I'm so sorry for the trouble! Without including account/personal information, could you tell us more about what's going on? ^SD",refund_payment
122,@AmazonHelp Walmart here I come. Not worth it,"@177964 We appreciate you reaching out. To better assist you, can you confirm for me the carrier: https://t.co/q4LAMZ3tbE? ^GG",complaint_service
123,@AmazonHelp 2 days and zero outcome,"@120779 Just to confirm, have you reported this to our support team as requested earlier? If not kindly let them know about it. ^AB",complaint_service
124,Àquela velha compra da Black Friday devidamente encomendada na @117086 😍😍😍,@138654 Olá Sidney! O seu pedido chegou? 😃📚👏 ^JJ,order_preorder
